customer_id,first_name,last_name,email,phone_number,dob,gender,location,date_of_entry
1,Jane,Doe,jane.doe@example.com,555-1234,1990-01-01,Female,New York,2022-01-01
1,Jane,Doe,jane.doe@example.com,555-1234,1990-01-01,Female,Boston,2022-02-01
1,Jane,Doe,jane.doe@example.com,555-5678,1990-01-01,Female,Boston,2022-03-01
2,John,Doe,john.doe@example.com,555-4321,1991-02-02,Male,San Francisco,2022-04-01
2,John,Doe,john.doe@example.com,555-4321,1991-02-02,Male,San Francisco,2022-05-01
2,John,Doe,john.doe@example.com,555-8765,1991-02-02,Male,San Francisco,2022-06-01
3,Michael,Jones,pmendez@example.org,883.178.1278,1985-09-14,Male,"315 Jensen Square Nathanbury, GU 63637",2023-01-04
4,Marie,Robbins,david47@example.com,+1-609-590-0742x350,1976-03-30,Female,"44816 Stewart Pines Suite 856 Glennfurt, IL 34333",2022-07-20
5,Susan,Richardson,chad92@example.com,694.288.3642,1985-08-19,Female,"2438 Katie Plaza Derekshire, MH 09973",2022-12-08
6,Sarah,Williams,kristin99@example.com,+1-480-129-7036x04123,1989-05-14,Male,"1373 Ethan Flats
Hoffmanshire, VT 30279",2022-12-02
7,Richard,Ortiz,juanmayer@example.com,(387)352-6296,1994-07-10,Female,"24665 Elizabeth Branch
Youngborough, OK 89286",2022-05-07
8,Jeffrey,Ward,william24@example.com,(243)882-5287,1961-11-11,Male,"38789 John Inlet
Adamsstad, DE 47311",2022-09-13
9,Kimberly,Miller,heidicastillo@example.com,786-594-7352x37944,1941-05-20,Male,"935 Green Port
Lake Carolyn, NY 32302",2022-10-08
10,Timothy,Collins,stevenanderson@example.net,405-030-4303x94572,1950-09-20,Male,"Unit 4239 Box 6969
DPO AP 46920",2022-08-13
11,Joseph,Beck,donna86@example.org,+1-973-335-5159x216,1986-12-27,Female,"11273 Molina Avenue
Rickyland, AR 69464",2022-07-24
12,Antonio,Woods,bdiaz@example.org,+1-383-463-6829x7257,1934-06-21,Male,"600 Bradley Path Suite 884
North Brendaborough, SC 83167",2023-03-10
13,Katie,Blevins,dianamassey@example.org,8864237228,1958-04-02,Female,"78330 Thomas Lake
Brownfurt, MT 05021",2023-04-28
14,Kimberly,Edwards,michael50@example.net,325.167.6882x2560,1966-12-21,Male,"18431 Williams Junction Suite 874
Hugheshaven, NY 63145",2023-03-13
